game,total_sec,success
20112012_351.html.csv,13,0
20112012_352.html.csv,147,-1
20112012_353.html.csv,122,-1
20112012_354.html.csv,55,0
20112012_355.html.csv,278,0
20112012_357.html.csv,234,-1
20112012_358.html.csv,19,0
20112012_359.html.csv,98,0
20112012_36.html.csv,231,1
20112012_360.html.csv,74,0
20112012_361.html.csv,62,0
20112012_362.html.csv,74,1
20112012_363.html.csv,67,0
20112012_364.html.csv,75,0
20112012_365.html.csv,86,1
20112012_366.html.csv,92,-1
20112012_367.html.csv,150,0
20112012_370.html.csv,108,-1
20112012_371.html.csv,97,0
20112012_372.html.csv,41,0
20112012_375.html.csv,74,0
20112012_376.html.csv,92,-1
20112012_377.html.csv,57,-1
20112012_378.html.csv,106,-1
20112012_379.html.csv,125,1
20112012_381.html.csv,69,0
20112012_382.html.csv,241,-1
20112012_384.html.csv,53,-1
20112012_385.html.csv,118,-1
20112012_387.html.csv,90,-1
20112012_388.html.csv,67,0
20112012_389.html.csv,108,0
20112012_390.html.csv,60,0
20112012_395.html.csv,80,1
20112012_396.html.csv,42,0
20112012_397.html.csv,80,0
20112012_398.html.csv,85,-1
20112012_400.html.csv,10,0
20112012_401.html.csv,76,0
20112012_402.html.csv,82,-1
20112012_403.html.csv,95,1
20112012_404.html.csv,129,0
20112012_405.html.csv,47,-1
20112012_406.html.csv,77,1
20112012_409.html.csv,94,0
20112012_410.html.csv,104,1
20112012_413.html.csv,46,-1
20112012_414.html.csv,57,0
20112012_415.html.csv,100,0
20112012_417.html.csv,61,0
20112012_419.html.csv,60,0
20112012_42.html.csv,124,0
20112012_421.html.csv,54,0
20112012_425.html.csv,79,-1
20112012_428.html.csv,97,0
20112012_429.html.csv,0,0
20112012_43.html.csv,93,-1
20112012_431.html.csv,146,-1
20112012_432.html.csv,47,0
20112012_434.html.csv,70,1
20112012_435.html.csv,81,1
20112012_439.html.csv,33,0
20112012_440.html.csv,76,-1
20112012_443.html.csv,57,-1
20112012_445.html.csv,82,0
20112012_446.html.csv,77,0
20112012_447.html.csv,89,1
20112012_449.html.csv,304,1
20112012_45.html.csv,86,0
20112012_451.html.csv,69,0
20112012_452.html.csv,22,0
20112012_453.html.csv,91,0
20112012_454.html.csv,63,0
20112012_455.html.csv,298,0
20112012_456.html.csv,151,-1
20112012_457.html.csv,50,0
20112012_458.html.csv,46,0
20112012_459.html.csv,86,0
20112012_46.html.csv,64,0
20112012_460.html.csv,20,0
20112012_462.html.csv,56,0
20112012_463.html.csv,0,0
20112012_467.html.csv,79,0
20112012_468.html.csv,60,0
20112012_47.html.csv,63,0
20112012_470.html.csv,90,0
20112012_472.html.csv,48,0
20112012_476.html.csv,35,0
20112012_477.html.csv,47,0
20112012_479.html.csv,78,0
20112012_48.html.csv,25,0
20112012_480.html.csv,50,-1
20112012_481.html.csv,74,1
20112012_483.html.csv,9,0
20112012_484.html.csv,20,1
20112012_485.html.csv,107,0
20112012_487.html.csv,137,-1
20112012_488.html.csv,89,0
20112012_49.html.csv,75,0
20112012_490.html.csv,106,-1
20112012_491.html.csv,26,0
20112012_493.html.csv,43,0
20112012_494.html.csv,63,0
20112012_495.html.csv,77,-1
20112012_497.html.csv,61,0
20112012_498.html.csv,106,0
20112012_5.html.csv,0,0
20112012_500.html.csv,69,0
20112012_501.html.csv,95,-1
20112012_502.html.csv,72,1
20112012_503.html.csv,9,0
20112012_505.html.csv,56,0
20112012_51.html.csv,99,-1
20112012_510.html.csv,30,-1
20112012_511.html.csv,69,0
20112012_514.html.csv,135,-1
20112012_516.html.csv,34,0
20112012_517.html.csv,61,-1
20112012_519.html.csv,60,0
20112012_52.html.csv,20,0
20112012_520.html.csv,42,0
20112012_521.html.csv,178,-1
20112012_522.html.csv,80,-1
20112012_523.html.csv,74,-1
20112012_526.html.csv,74,0
20112012_527.html.csv,54,0
20112012_528.html.csv,73,0
20112012_529.html.csv,172,0
20112012_53.html.csv,89,0
20112012_533.html.csv,152,0
20112012_534.html.csv,66,0
20112012_536.html.csv,95,0
20112012_539.html.csv,157,0
20112012_54.html.csv,48,0
20112012_542.html.csv,74,-1
20112012_543.html.csv,31,-1
20112012_544.html.csv,185,0
20112012_545.html.csv,48,0
20112012_546.html.csv,83,0
20112012_548.html.csv,88,-1
20112012_549.html.csv,277,0
20112012_551.html.csv,69,0
20112012_553.html.csv,108,0
20112012_555.html.csv,60,0
20112012_556.html.csv,94,-1
20112012_559.html.csv,81,-1
20112012_560.html.csv,90,-1
20112012_562.html.csv,68,0
20112012_564.html.csv,347,0
20112012_565.html.csv,86,0
20112012_566.html.csv,52,0
20112012_568.html.csv,87,-1
20112012_569.html.csv,68,0
20112012_571.html.csv,28,0
20112012_574.html.csv,68,0
20112012_576.html.csv,62,0
20112012_578.html.csv,124,-1
20112012_579.html.csv,57,0
20112012_582.html.csv,95,-1
20112012_583.html.csv,43,0
20112012_587.html.csv,0,0
20112012_588.html.csv,95,-1
20112012_589.html.csv,53,0
20112012_590.html.csv,239,0
20112012_592.html.csv,66,0
20112012_593.html.csv,60,-1
20112012_594.html.csv,70,0
20112012_595.html.csv,221,-1
20112012_597.html.csv,144,0
20112012_598.html.csv,51,0
20112012_6.html.csv,45,0
20112012_600.html.csv,135,-1
20112012_601.html.csv,85,0
20112012_603.html.csv,60,0
20112012_604.html.csv,57,0
20112012_605.html.csv,65,0
20112012_609.html.csv,104,0
20112012_61.html.csv,68,0
20112012_610.html.csv,128,-1
20112012_611.html.csv,51,-1
20112012_613.html.csv,63,-1
20112012_614.html.csv,38,0
20112012_617.html.csv,96,0
20112012_62.html.csv,67,-1
20112012_621.html.csv,84,0
20112012_623.html.csv,82,1
20112012_625.html.csv,108,-1
20112012_627.html.csv,345,0
20112012_628.html.csv,76,-1
20112012_629.html.csv,63,0
20112012_63.html.csv,75,0
20112012_630.html.csv,42,0
20112012_631.html.csv,59,0
20112012_632.html.csv,33,1
20112012_638.html.csv,77,0
20112012_639.html.csv,149,-1
20112012_642.html.csv,68,-1
20112012_643.html.csv,43,0
20112012_644.html.csv,45,0
20112012_647.html.csv,57,1
20112012_648.html.csv,90,0
20112012_650.html.csv,47,1
20112012_651.html.csv,50,-1
20112012_652.html.csv,82,-1
20112012_653.html.csv,43,0
20112012_654.html.csv,1,0
20112012_656.html.csv,40,-1
20112012_657.html.csv,98,-1
20112012_658.html.csv,57,-1
20112012_659.html.csv,84,0
20112012_66.html.csv,68,0
20112012_661.html.csv,67,0
20112012_662.html.csv,248,0
20112012_663.html.csv,110,0
20112012_664.html.csv,133,0
20112012_666.html.csv,59,0
20112012_669.html.csv,80,0
20112012_67.html.csv,57,-1
20112012_670.html.csv,44,0
20112012_672.html.csv,92,-1
20112012_676.html.csv,48,-1
20112012_677.html.csv,51,-1
20112012_68.html.csv,95,0
20112012_686.html.csv,72,-1
20112012_687.html.csv,118,-1
20112012_688.html.csv,102,-1
20112012_689.html.csv,77,-1
20112012_690.html.csv,75,0
20112012_696.html.csv,73,0
20112012_697.html.csv,73,0
20112012_698.html.csv,0,0
20112012_699.html.csv,274,0
20112012_70.html.csv,50,-1
20112012_700.html.csv,172,-1
20112012_701.html.csv,53,0
20112012_702.html.csv,102,0
20112012_705.html.csv,94,0
20112012_707.html.csv,60,1
20112012_709.html.csv,72,0
